EDITION,YEAR,host,host_country_code,WIN_LAT,WIN_LON,TEAMS,TEAM_NAMES,TEAM_LIST
2014 FIFA World Cup Brazil,2014,Brazil,BRA,52.52,13.405,32,"Algeria,Cameroon,Cote d'Ivoire,Ghana,Nigeria,Australia,Iran,Japan,KoreaRepublic,Belgium,Bosnia, Herzegovina, Croatia,England,France,Germany,Greece,Italy,Netherlands, Portugal,Russia,Spain,Switzerland,Costa Rica,Honduras,Mexico,USA,Argentina,Brazil,Chile,Colombia,Ecuador,Uruguay","DZA,CMR,CIV,GHA,NGA,AUS,IRN,JPN,KOR,BEL,BIH,HRV,GBR,FRA,DEU,GRC,ITA,NLD,PRT,RUS,ESP,CHE,CRI,HND,MEX,USA,ARG,BRA,CHL,COL,ECU,URY"
2010 FIFA World Cup South Africa ,2010,South Africa,ZAF,40.4168,-3.7038,32,"Algeria,Cameroon,Ghana,Ivory Coast,Nigeria,South Africa,Australia,Japan,Korea DPR,Korea Republic,Denmark,England,France,Germany,Greece,Italy,Netherlands,Portugal,Serbia,Slovakia,Slovenia,Spain,Switzerland,Honduras,Mexico,USA,New Zealand,Argentina,Brazil,Chile,Paraguay,Uruguay","DZA,CMR,GHA,NGA,ZAF,AUS,JPN,KOR,KOR,DNK,GBR,FRA,DEU,GRC,ITA,NLD,PRT,SRB,SVK,SVN,ESP,CHE,HND,MEX,USA,NZL,ARG,BRA,CHL,PRY,URY"
2006 FIFA World Cup Germany ,2006,Germany,DEU,41.9028,12.4964,32,"Angola,Ghana,Ivory Coast,Togo,Tunisia,Australia,Iran,Japan,Korea Republic,Saudi Arabia,Croatia,Czech Republic,England,France,Germany,Italy,Netherlands,Poland,Portugal,Serbia and Montenegro,Spain,Sweden,Switzerland,Ukraine,Costa Rica,Mexico,Trinidad and Tobago,USA,Argentina,Brazil,Ecuador,Paraguay","AGO,GHA,TGO,TUN,AUS,IRN,JPN,KOR,SAU,HRV,CZE,GBR,FRA,DEU,ITA,NLD,POL,PRT,ESP,SWE,CHE,UKR,CRI,MEX,TTO,USA,ARG,BRA,ECU,PRY"
2002 FIFA World Cup Korea/Japan ,2002,Korea/Japan,KOR,-15.7942,-47.8822,32,"Cameroon,Nigeria,Senegal,South Africa,Tunisia,China PR,Japan,Korea Republic,Saudi Arabia,Belgium,Croatia,Denmark,England,France,Germany,Italy,Poland,Portugal,Republic of Ireland,Russia,Slovenia,Spain,Sweden,Turkey,Costa Rica,Mexico,USA,Argentina,Brazil,Ecuador,Paraguay,Uruguay","CMR,NGA,SEN,ZAF,TUN,CHN,JPN,KOR,SAU,BEL,HRV,DNK,GBR,FRA,DEU,ITA,POL,PRT,RUS,SVN,ESP,SWE,TUR,CRI,MEX,USA,ARG,BRA,ECU,PRY,URY"
1998 FIFA World Cup France ,1998,France,FRA,48.8566,2.3522,32,"Cameroon,Morocco,Nigeria,South Africa,Tunisia,Iran,Japan,Korea Republic,Saudi Arabia,Austria,Belgium,Bulgaria,Croatia,Denmark,England,France,Germany,Italy,Netherlands,Norway,Romania,Scotland,Spain,Yugoslavia,Jamaica,Mexico,USA,Argentina,Brazil,Chile,Colombia,Paraguay","CMR,MAR,NGA,ZAF,TUN,IRN,JPN,KOR,SAU,AUT,BEL,BGR,HRV,DNK,GBR,FRA,DEU,ITA,NLD,NOR,ROU,ESP,JAM,MEX,USA,ARG,BRA,CHL,COL,PRY"
1994 FIFA World Cup USA ,1994,USA,USA,-15.7942,-47.8822,24,"Cameroon,Morocco,Nigeria,Korea Republic,Saudi Arabia,Belgium,Bulgaria,Germany,Greece,Italy,Netherlands,Norway,Republic of Ireland,Romania,Russia,Spain,Sweden,Switzerland,Mexico,USA,Argentina,Bolivia,Brazil,Colombia","CMR,MAR,NGA,KOR,SAU,BEL,BGR,DEU,GRC,ITA,NLD,NOR,ROU,RUS,ESP,SWE,CHE,MEX,USA,ARG,BOL,BRA,COL"
1990 FIFA World Cup Italy ,1990,Italy,ITA,52.52,13.405,24,"Cameroon,Egypt,Korea Republic,United Arab Emirates,Austria,Belgium,Czechoslovakia,England,Germany FR,Italy,Netherlands,Republic of Ireland,Romania,Scotland,Soviet Union,Spain,Sweden,Yugoslavia,Costa Rica,USA,Argentina,Brazil,Colombia,Uruguay","CMR,EGY,KOR,ARE,AUT,BEL,GBR,DEU,ITA,NLD,ROU,RUS,ESP,SWE,CRI,USA,ARG,BRA,COL,URY"
1986 FIFA World Cup Mexico,1986,Mexico,MEX,-34.6037,-58.3816,24,"Algeria,Morocco,Iraq,Korea Republic,Belgium,Bulgaria,Denmark,England,France,Germany FR,Hungary,Italy,Northern Ireland,Poland,Portugal,Scotland,Soviet Union,Spain,Canada,Mexico,Argentina,Brazil,Paraguay,Uruguay","DZA,MAR,IRQ,KOR,BEL,BGR,DNK,GBR,FRA,DEU,HUN,ITA,POL,PRT,RUS,ESP,CAN,MEX,ARG,BRA,PRY,URY"
1982 FIFA World Cup Spain ,1982,Spain,ESP,41.9028,12.4964,24,"Algeria,Cameroon,Kuwait,Austria,Belgium,Czechoslovakia,England,France,Germany FR,Hungary,Italy,Northern Ireland,Poland,Scotland,Soviet Union,Spain,Yugoslavia,El Salvador,Honduras,New Zealand,Argentina,Brazil,Chile,Peru","DZA,CMR,KWT,AUT,BEL,GBR,FRA,DEU,HUN,ITA,POL,RUS,ESP,SLV,HND,NZL,ARG,BRA,CHL,PER"
1978 FIFA World Cup Argentina ,1978,Argentina,ARG,-34.6037,-58.3816,16,"Tunisia,Iran,Austria,France,Germany FR,Hungary,Italy,Netherlands,Poland,Scotland,Spain,Sweden,Mexico,Argentina,Brazil,Peru","TUN,IRN,AUT,FRA,DEU,HUN,ITA,NLD,POL,ESP,SWE,MEX,ARG,BRA,PER"
1974 FIFA World Cup Germany,1974,Germany,DEU,52.52,13.405,16,"Zaire,Australia,Bulgaria,Germany,Italy,Netherlands,Poland,Scotland,Sweden,Yugoslavia,Haiti,Argentina,Brazil,Chile,Uruguay","AUS,BGR,DEU,ITA,NLD,POL,SWE,HTI,ARG,BRA,CHL,URY"
1970 FIFA World Cup Mexico ,1970,Mexico,MEX,-15.7942,-47.8822,16,"Morocco,Belgium,Bulgaria,Czechoslovakia,England,Germany FR,Israel,Italy,Romania,Soviet Union,Sweden,El Salvador,Mexico,Brazil,Peru,Uruguay","MAR,BEL,BGR,GBR,DEU,ISR,ITA,ROU,RUS,SWE,SLV,MEX,BRA,PER,URY"
1966 FIFA World Cup England ,1966,England,GBR,51.5074,-0.1278,16,"Korea DPR,Bulgaria,England,France,Germany FR,Hungary,Italy,Portugal,Soviet Union,Spain,Switzerland,Mexico,Argentina,Brazil,Chile,Uruguay","KOR,BGR,GBR,FRA,DEU,HUN,ITA,PRT,RUS,ESP,CHE,MEX,ARG,BRA,CHL,URY"
1962 FIFA World Cup Chile ,1962,Chile,CHL,-15.7942,-47.8822,16,"Bulgaria,Czechoslovakia,England,Germany FR,Hungary,Italy,Soviet Union,Spain,Switzerland,Yugoslavia,Mexico,Argentina,Brazil,Chile,Colombia,Uruguay","BGR,GBR,DEU,HUN,ITA,RUS,ESP,CHE,MEX,ARG,BRA,CHL,COL,URY"
1958 FIFA World Cup Sweden ,1958,Sweden,SWE,-15.7942,-47.8822,16,"Austria,Czechoslovakia,England,France,Germany FR,Hungary,Northern Ireland,Scotland,Soviet Union,Sweden,Wales,Yugoslavia,Mexico,Argentina,Brazil,Paraguay","AUT,GBR,FRA,DEU,HUN,RUS,SWE,MEX,ARG,BRA,PRY"
1954 FIFA World Cup Switzerland ,1954,Switzerland,CHE,52.52,13.405,16,"Korea Republic,Austria,Belgium,Czechoslovakia,England,France,Germany FR,Hungary,Italy,Scotland,Switzerland,Turkey,Yugoslavia,Mexico,Brazil,Uruguay","KOR,AUT,BEL,GBR,FRA,DEU,HUN,ITA,CHE,TUR,MEX,BRA,URY"
1950 FIFA World Cup Brazil ,1950,Brazil,BRA,-34.9011,-56.1645,13,"England,Italy,Spain,Sweden,Switzerland,Yugoslavia,Mexico,USA,Bolivia,Brazil,Chile,Paraguay,Uruguay","GBR,ITA,ESP,SWE,CHE,MEX,USA,BOL,BRA,CHL,PRY,URY"
1938 FIFA World Cup France ,1938,France,FRA,41.9028,12.4964,15,"Dutch East Indies,Belgium,Czechoslovakia,France,Germany,Hungary,Italy,Netherlands,Norway,Poland,Romania,Sweden,Switzerland,Cuba,Brazil","BEL,FRA,DEU,HUN,ITA,NLD,NOR,POL,ROU,SWE,CHE,CUB,BRA"
1934 FIFA World Cup Italy ,1934,Italy,ITA,41.9028,12.4964,16,"Egypt,Austria,Belgium,Czechoslovakia,France,Germany,Hungary,Italy,Netherlands,Romania,Spain,Sweden,Switzerland,USA,Argentina,Brazil","EGY,AUT,BEL,FRA,DEU,HUN,ITA,NLD,ROU,ESP,SWE,CHE,USA,ARG,BRA"
1930 FIFA World Cup Uruguay ,1930,Uruguay,URY,-34.9011,-56.1645,13,"Belgium,France,Romania,Yugoslavia,Mexico,USA,Argentina,Bolivia,Brazil,Chile,Paraguay,Peru,Uruguay","BEL,FRA,ROU,MEX,USA,ARG,BOL,BRA,CHL,PRY,PER,URY"
